start	end	text
0	10120	Hello, and welcome to the world's best web development course.
10120	11120	My name is Angela.
11120	17440	I'm a senior developer and the lead instructor at the London App Brewery, London's highest
17440	19440	rated programming boot camp.
19440	25560	To date, I've taught over a million students worldwide, in person and online.
26560	32120	And today I'm so excited that I have the privilege to be your instructor on this course.
32120	40520	You're going to get access to over 55 hours of HD video content, step-by-step tutorials,
40520	45400	interactive coding exercises, quizzes, and much, much more.
45400	52680	This course is created with the same curriculum as our 12-week in-person programming boot camp.
52680	58440	So that means you can look forwards to the same professional level content, covering
58440	63360	every aspect of web development from HTML to React.
63360	70840	This is the only course you need to become a professional full-stack web developer.
70840	72400	And the best part?
72400	75320	The course is completely project-based.
75320	80160	So that means you're going to learn everything you need to know while building beautiful
80160	83760	real-world websites and web applications.
83760	89520	You'll build a beautiful product website using HTML, CSS, and Bootstrap.
89520	93200	You'll build games and musical apps like the StrongKit.
93200	98560	You'll learn about Node, React, and the MearnStack to build classic developer projects like a
98560	105280	to-do list app and a project manager that's perfect for showing off at your next interview.
105280	110200	If you're curious, take a look at the downloadable curriculum to learn more.
110200	115600	Now this course assumes absolutely no prior programming experience.
115600	121800	So if you're a complete beginner, I'll be there every step of the way, taking you from
121800	127680	programming fundamentals all the way through to intermediate and more advanced concepts.
127680	132320	Now if you're an advanced developer, then take a look at the curriculum and start at
132320	134280	the level that suits you best.
134280	141480	So instead of spending $12,000 on our in-person bootcamp and having to take time off work,
141480	146920	you're going to get access to exactly the same curriculum that has years of design and
146920	148400	testing behind it.
148400	153680	So you won't just know what to do, but also why you're doing it.
153680	156080	Now don't just take my word for it.
156080	159080	Check out what my past students had to say about the course.
164480	166480	Your time is precious.
166480	169480	That's why you deserve the best course money can buy.
169480	172600	So what are you still waiting for?
172600	178960	Join the course today and find out why over a million students have rated my courses five
178960	183680	stars and see what you can do by mastering web development.
